year,Wet Storage,Dry Storage,Repository,Reprocessed Fuel
2000,906.625,2494.6798245614,3046.3684210526,-0.6666666667
2001,1101.3166666667,3336.0921052632,3322.6842105263,-0.4666666667
2002,1066.3166666667,3823.9192982456,3599,-0.35
2003,882.1583333333,4081.9903508772,3875.3157894737,-0.5666666667
2004,676.2416666667,4189.7219298246,4151.6315789474,-0.1166666667
2005,453.9416666667,4146.801754386,4427.9473684211,-0.4166666667
2006,337.0083333333,3953.4754385965,4704.2631578947,0.1166666667
2007,286.5916666667,3821.4473684211,4980.5789473684,0.0333333333
2008,269.0333333333,3715.4798245614,5256.8947368421,0.0333333333
2009,237.475,3562.0078947369,5533.2105263158,0.0333333333
2010,173.9583333333,3369.4175438597,5809.5263157895,-0.05
2011,133.2833333333,3181.4552631579,6085.8421052632,-0.0833333333
2012,97.8333333333,3011.1280701754,6362.1578947369,-0.0833333333
2013,70.325,2858.2385964912,6638.4736842105,0.25
2014,57.025,2718.2640350877,6914.7894736842,-0.0833333333
2015,66.65,2586.9456140351,7191.1052631579,0.25
2016,85.6666666667,2447.0333333333,7467.4210526316,249.7166666667
2017,116.05,2264.4166666667,7743.7368421053,249.8
2018,155.75,2107.4166666667,9506.8947368421,519.8
2019,199.9833333333,1645.1166666667,12256.8947368421,410.8
2020,244.925,1302.0271929825,14193.7368421053,424.3833333333
2021,289.5583333333,1097.2692982456,15567.4210526316,502.3333333333
2022,334.0416666667,1031.2614035088,16377.947368421,680.2333333333
2023,376.5166666667,1098.898245614,16625.3157894737,987.95
2024,426.325,1193.7280701754,16559.5263157895,1340.7833333333
2025,471.1833333333,1236.8763157895,16480.5789473684,1656.4333333333
2026,519.575,1268.8035087719,16388.4736842105,1877.2833333333
2027,609.4416666667,1290.2438596491,16283.2105263158,2037.5666666667
2028,668.4833333333,1318.4324561404,16164.7894736842,2174.7333333333
2029,760.1833333333,1372.4368421053,16033.2105263158,2333.2333333333
2030,903.225,1450.4552631579,15888.4736842105,2600.45
2031,1056.4833333333,1582.6903508772,15730.5789473684,2997.3833333333
2032,1087.2333333333,1768.8087719298,15559.5263157895,3607.0666666667
2033,1016.6666666667,2017.7438596491,15375.3157894737,4370.1666666667
2034,1129.175,2231.4456140351,15195.2938596491,5182.1166666667
2035,1061.4416666667,2352.5640350877,15046.8333333333,5965.55
2036,1011.3666666667,2419.2324561404,14977.5614035088,6326.95
2037,879.1416666667,2254.5842105263,15090.3833333333,6622.1166666667
2038,840.875,1673.6692982456,14445.1333333333,6732.7
2039,700.6416666667,1174.2605263158,12128.4666666667,6906.65
2040,570.2583333333,1143.4368421053,9214.7166666667,7364.3666666667
2041,480.85,1160.9631578947,7029.6333333333,7784.8
2042,447.8083333333,1055.4114035088,5426.6666666667,8217.8833333333
2043,469.9666666667,1019.5,4450,8585.6166666667
2044,428.225,1063.0535087719,4000,8873.5666666667
2045,400.5,1059.4280701754,3750,9119.0833333333
2046,357.075,1002.3561403509,3500,9350.5833333333
2047,311.25,953.9526315789,3250,9595.9833333333
2048,214.2,923.0166666667,3000,9941.5166666667
2049,167.025,798.5833333333,2750,10440
2050,141.275,664.7666666667,2500,11213.9
2051,167.5833333333,581.8666666667,2250,12153.6
2052,194.6,562.5166666667,2000,13146.45
2053,209.0166666667,450.7666666667,1750,14018.4333333333
2054,265.4916666667,550.4333333333,1500,14655.6333333333
2055,267.7333333333,586.7333333333,1250,15102.7666666667
2056,267.4916666667,545.2166666667,997.0833333333,15417.75
2057,229.9166666667,574.85,738.5833333333,15694.8333333333
2058,230.4583333333,596.6666666667,466.6666666667,15951.8833333333
2059,244.3083333333,597.5666666667,166.6666666667,16283.1166666667
2060,285.9,594.0333333333,0,16588.1166666667
2061,335.8,615.0833333333,0,16848.3166666667
2062,425.3833333333,589.2166666667,0,17101.2
2063,497.775,595.4166666667,0,17337.35
2064,543.3583333333,567.1973684211,0,17586.9
2065,588.425,544.851754386,0,17828.8666666667
2066,618.5916666667,532.8350877193,0,18075.0166666667
2067,637.9833333333,517.9657894737,0,18318.05
2068,655.4166666667,506.9368421053,0,18560.0166666667
