year,Wet Storage,Dry Storage,Repository,Reprocessed Fuel
2069,675.825,489.2245614035,0,18796.25
2070,688.0166666667,470.4956140351,0,19033.1
2071,705.0833333333,433.5,0,19249.0666666667
2072,711.1333333333,377.9543859649,0,19435.0833333333
2073,711.4583333333,370.2421052632,0,19576.75
2074,746.9,329.2464912281,0,19690.9833333333
2075,770.5333333333,291.7368421053,0,19801.0333333333
2076,808.4,266.5078947368,0,19908.3166666667
2077,865.3916666667,245.6377192982,0,20012.45
2078,936.475,223.000877193,0,20120.7333333333
2079,1000.1583333333,196.7614035088,0,20228.6333333333
2080,1059.85,167.4526315789,0,20351.7666666667
2081,1103.0583333333,141.1412280702,0,20433.2166666667
2082,1136.9833333333,117.7605263158,0,20603.7166666667
2083,1160.15,131.8964912281,0,20648.6
2084,1174.7416666667,169.6061403509,0,20820.5833333333
2085,1221.4083333333,217.5175438597,0,20881.4666666667
2086,1251.7,272.0456140351,0,21101.8
2087,1316.7916666667,298.3307017544,0,21447.85
2088,1341.1,334.8798245614,0,22119.8333333333
2089,1402.125,458.7929824561,0,22918.1
2090,1522.05,519.8868421053,0,23883.4833333333
2091,1670.15,493.7114035088,0,24623
2092,1727.925,451.3666666667,0,25159.0166666667
2093,1709.85,326.9526315789,0,25351.9166666667
2094,1888.2833333333,187.5666666667,0,25479.2666666667
2095,1855.1416666667,139.4973684211,0,25476.5
2096,1856.6666666667,109.6666666667,0,25759.7166666667
2097,1821.05,91.2666666667,0,25983.0666666667
2098,1839.35,53.8026315789,0,26379.1833333333
2099,1830.4166666667,37.2245614035,0,26635.85
2100,1864.6833333333,26.849122807,0,26858.3
