year,Wet Storage,Dry Storage,Repository,Reprocessed Fuel
2000,601.3333333333,2494.6798245614,3046.3684210526,-0.6666666667
2001,481.0666666667,3336.0921052632,3322.6842105263,-0.4666666667
2002,360.8,3823.9192982456,3599,-0.35
2003,240.5333333333,4081.9903508772,3875.3157894737,-0.5666666667
2004,120.2666666667,4189.7219298246,4151.6315789474,-0.1166666667
2005,0,4146.801754386,4427.9473684211,-0.4166666667
2006,0,3953.4754385965,4704.2631578947,0.1166666667
2007,0.375,3821.4473684211,4980.5789473684,0.0333333333
2008,4,3715.4798245614,5256.8947368421,0.0333333333
2009,10.5416666667,3562.0078947369,5533.2105263158,0.0333333333
2010,22.625,3369.4175438597,5809.5263157895,-0.05
2011,42.4833333333,3181.4552631579,6085.8421052632,-0.0833333333
2012,52.4333333333,3011.1280701754,6362.1578947369,-0.0833333333
2013,55.1916666667,2858.2385964912,6638.4736842105,0.25
2014,57.025,2718.2640350877,6914.7894736842,-0.0833333333
2015,66.65,2586.9456140351,7191.1052631579,0.25
2016,85.6666666667,2447.0333333333,7467.4210526316,249.7166666667
2017,116.05,2171.9166666667,7743.7368421053,249.8
2018,155.75,1640,9506.8947368421,519.8
2019,199.9833333333,1060.5333333333,12256.8947368421,410.8
2020,244.925,608.5271929825,14193.7368421053,424.3833333333
2021,289.5583333333,286.0026315789,15567.4210526316,502.3333333333
2022,334.0416666667,93.2114035088,16377.947368421,680.2333333333
2023,376.5166666667,26.8815789474,16625.3157894737,987.95
2024,426.325,40.6447368421,16559.5263157895,1340.7833333333
2025,471.1833333333,57.6929824561,16480.5789473684,1656.4333333333
2026,519.575,78.2368421053,16388.4736842105,1877.2833333333
2027,609.4416666667,101.2938596491,16283.2105263158,2037.5666666667
2028,668.4833333333,127.649122807,16164.7894736842,2174.7333333333
2029,760.1833333333,157.1622807018,16033.2105263158,2333.2333333333
2030,903.225,189.6096491228,15888.4736842105,2600.45
2031,1056.4833333333,224.5131578947,15730.5789473684,2997.3833333333
2032,1087.2333333333,263.25,15559.5263157895,3607.0666666667
2033,1016.6666666667,305.548245614,15375.3157894737,4370.1666666667
2034,1129.175,352.5,15195.2938596491,5182.1166666667
2035,1061.4416666667,402.3026315789,15046.8333333333,5965.55
2036,1011.3666666667,454.5,14977.5614035088,6326.95
2037,879.1416666667,510.2456140351,15090.3833333333,6622.1166666667
2038,829.75,569.2543859649,14445.1333333333,6732.7
2039,678.3916666667,709.9780701754,12128.4666666667,6906.65
2040,525.7583333333,944.6096491228,9214.7166666667,7364.3666666667
2041,391.85,1177.9342105263,7029.6333333333,7784.8
2042,365.5666666667,1237.601754386,5426.6666666667,8217.8833333333
2043,385.4,1316.5973684211,4450,8585.6166666667
2044,330.2916666667,1430.198245614,4000,8873.5666666667
2045,256.1166666667,1476.3842105263,3750,9119.0833333333
