year,Wet Storage,Dry Storage,Repository,Reprocessed Fuel
2046,208.7,1472.7771929825,3500,9350.5833333333
2047,190.0333333333,1481.6719298246,3250,9582.65
2048,115.1,1518.5605263158,3000,9821.5166666667
2049,87.0666666667,1501.4473684211,2750,10066.6666666667
2050,86.9333333333,1477.1263157895,2500,10315.9
2051,94.0666666667,1502.2745614035,2250,10551.9333333333
2052,64.0833333333,1560.5298245614,2000,10774.45
2053,68.6916666667,1636.0824561404,1750,10965.7
2054,83.55,1662.6350877193,1500,11128.4
2055,132.9083333333,1618.498245614,1250,11247.15
2056,188.3666666667,1613.6192982456,997.0833333333,11337.8333333333
2057,214.4333333333,1624.0947368421,738.5833333333,11426.15
2058,265.1083333333,1627.6271929825,466.6666666667,11504.9166666667
2059,331.9833333333,1635.9868421053,166.6666666667,11644.9166666667
2060,398.8666666667,1679.8289473684,0,11770.8166666667
2061,472.5583333333,1711.8438596491,0,11856.5166666667
2062,578.6583333333,1747.0412280702,0,11938.3333333333
2063,663.075,1801.4543859649,0,12013.9333333333
2064,721.275,1869.448245614,0,12092.3666666667
2065,775.2916666667,1959.0552631579,0,12164.8666666667
2066,807.475,2061.7947368421,0,12237.4
2067,824.075,2174.6438596491,0,12304.7166666667
2068,834.5166666667,2288.799122807,0,12369.6166666667
2069,842.4833333333,2410.3859649123,0,12434.9333333333
2070,845.2,2535.1105263158,0,12495.1833333333
2071,854.85,2666.948245614,0,12559.3166666667
2072,863.2333333333,2820.0903508772,0,12615.7
2073,872.15,2971.4394736842,0,12672.2166666667
2074,914.7916666667,3119.2131578947,0,12727.7833333333
2075,944.325,3275.1780701754,0,12779.6833333333
2076,987.0083333333,3430.6298245614,0,12834.4833333333
2077,1045.3416666667,3582.3692982456,0,12883.8
2078,1117.5916666667,3730.1377192983,0,12935.4333333333
2079,1189.5,3882.5921052632,0,12980.6666666667
2080,1259.5416666667,4037.7973684211,0,13034.9666666667
2081,1311.9416666667,4201.1938596491,0,13049.5666666667
2082,1350.6833333333,4372.7289473684,0,13154.4
2083,1375.9083333333,4563.2973684211,0,13136.9666666667
2084,1390.3083333333,4762.7938596491,0,13248.5833333333
2085,1437.5833333333,4960.0692982456,0,13235.7666666667
2086,1472.5166666667,5160.5114035088,0,13281.0666666667
2087,1546.2333333333,5365.5096491228,0,13300.6
2088,1581.55,5574.5061403509,0,13372.6833333333
2089,1647.8583333333,5779.6236842105,0,13392.25
2090,1764.1333333333,5978.0210526316,0,13516.7166666667
2091,1908.05,6167.8578947369,0,13508.4
2092,1961.8583333333,6346.5315789474,0,13599.8666666667
2093,1939.9916666667,6505.0201754386,0,13583.8
2094,2122.9333333333,6669.3728070176,0,13657.1
2095,2107.9583333333,6838.5657894737,0,13608.6166666667
2096,2123.875,7028.9166666667,0,13699.3833333333
2097,2094.6416666667,7208.6,0,13661.25
2098,2110.7083333333,7326.2719298246,0,13765.2333333333
2099,2093.1083333333,7386.249122807,0,13781.2166666667
2100,2117.0416666667,7389.148245614,0,13804.65
